Word,Log Rank,Log Frequency
from a,2.2380461031287955,1.3979400086720377
him to,2.2405492482826,1.3979400086720377
miss harvey,2.2430380486862944,1.3979400086720377
who plays,2.24551266781415,1.3979400086720377
but i,2.247973266361807,1.380211241711606
for her,2.250420002308894,1.380211241711606
he would,2.2528530309798933,1.380211241711606
i would,2.255272505103306,1.380211241711606
of their,2.2576785748691846,1.380211241711606
the decision,2.2600713879850747,1.380211241711606
the house,2.2624510897304293,1.380211241711606
the show,2.2648178230095364,1.380211241711606
to give,2.2671717284030137,1.380211241711606
wanted to,2.2695129442179165,1.380211241711606
were found,2.271841606536499,1.380211241711606
back to,2.27415784926368,1.3617278360175928
charged with,2.2764618041732443,1.3617278360175928
during the,2.278753600952829,1.3617278360175928
he s,2.2810333672477277,1.3617278360175928
her to,2.2833012287035497,1.3617278360175928
i am,2.285557309007774,1.3617278360175928
into a,2.287801729930226,1.3617278360175928
the family,2.290034611362518,1.3617278360175928
the old,2.292256071356476,1.3617278360175928
after his,2.294466226161593,1.3424226808222062
been a,2.296665190261531,1.3424226808222062
could not,2.298853076409707,1.3424226808222062
front of,2.3010299956639813,1.3424226808222062
nursing homes,2.303196057420489,1.3424226808222062
of being,2.305351369446624,1.3424226808222062
out the,2.307496037913213,1.3424226808222062
the group,2.3096301674258988,1.3424226808222062
to make,2.311753861055754,1.3424226808222062
want to,2.3138672203691533,1.3424226808222062
was in,2.315970345456918,1.3424226808222062
we are,2.3180633349627615,1.3424226808222062
which was,2.3201462861110542,1.3424226808222062
able to,2.322219294733919,1.3222192947339193
can t,2.3242824552976926,1.3222192947339193
for years,2.326335860928751,1.3222192947339193
high court,2.3283796034387376,1.3222192947339193
in front,2.330413773349191,1.3222192947339193
it has,2.3324384599156054,1.3222192947339193
it will,2.3344537511509307,1.3222192947339193
old bailey,2.3364597338485296,1.3222192947339193
series of,2.3384564936046046,1.3222192947339193
the couple,2.3404441148401185,1.3222192947339193
there is,2.342422680822206,1.3222192947339193
to death,2.3443922736851106,1.3222192947339193
to go,2.346352974450639,1.3222192947339193
was cleared,2.3483048630481607,1.3222192947339193
when the,2.3502480183341627,1.3222192947339193
you are,2.3521825181113627,1.3222192947339193
as she,2.3541084391474008,1.3010299956639813
cleared of,2.3560258571931225,1.3010299956639813
didn t,2.357934847000454,1.3010299956639813
he told,2.359835482339888,1.3010299956639813
him and,2.361727836017593,1.3010299956639813
his home,2.3636119798921444,1.3010299956639813
in an,2.3654879848909,1.3010299956639813
in court,2.367355921026019,1.3010299956639813
is to,2.369215857410143,1.3010299956639813
mr brown,2.3710678622717363,1.3010299956639813
mr smith,2.3729120029701067,1.3010299956639813
mrs amor,2.374748346010104,1.3010299956639813
noel gallagher,2.376576957056512,1.3010299956639813
on his,2.3783979009481375,1.3010299956639813
on to,2.380211241711606,1.3010299956639813
she has,2.3820170425748683,1.3010299956639813
that s,2.383815365980431,1.3010299956639813
the girl,2.385606273598312,1.3010299956639813
was convicted,2.387389826338729,1.3010299956639813
west london,2.3891660843645326,1.3010299956639813
years in,2.3909351071033793,1.3010299956639813
a few,2.392696953259666,1.2787536009528289
a million,2.3944516808262164,1.2787536009528289
and mr,2.3961993470957363,1.2787536009528289
at his,2.3979400086720375,1.2787536009528289
bbc s,2.399673721481038,1.2787536009528289
because he,2.401400540781544,1.2787536009528289
bodily harm,2.403120521175818,1.2787536009528289
but he,2.404833716619938,1.2787536009528289
come to,2.406540180433955,1.2787536009528289
her daughter,2.4082399653118496,1.2787536009528289
her mother,2.4099331233312946,1.2787536009528289
i think,2.41161970596323,1.2787536009528289
if he,2.413299764081252,1.2787536009528289
it had,2.4149733479708178,1.2787536009528289
of murder,2.416640507338281,1.2787536009528289
said to,2.4183012913197452,1.2787536009528289
said we,2.419955748489758,1.2787536009528289
she is,2.4216039268698313,1.2787536009528289
sir paul,2.423245873936808,1.2787536009528289
the murder,2.424881636631067,1.2787536009528289
the only,2.4265112613645754,1.2787536009528289
the other,2.428134794028789,1.2787536009528289
the royal,2.429752280002408,1.2787536009528289
the verdict,2.4313637641589874,1.2787536009528289
they have,2.432969290874406,1.2787536009528289
to come,2.4345689040341987,1.2787536009528289
to his,2.436162647040756,1.2787536009528289
tried to,2.437750562820388,1.2787536009528289
up with,2.439332693830263,1.2787536009528289
wasn t,2.4409090820652177,1.2787536009528289
we have,2.4424797690644486,1.2787536009528289
a woman,2.444044795918076,1.255272505103306
an axe,2.4456042032735974,1.255272505103306
and has,2.4471580313422194,1.255272505103306
as well,2.44870631990508,1.255272505103306
