Word,Log Rank,Log Frequency
got,2.367355921026019,1.662757831681574
head,2.369215857410143,1.662757831681574
month,2.3710678622717363,1.662757831681574
never,2.3729120029701067,1.662757831681574
taken,2.374748346010104,1.662757831681574
five,2.376576957056512,1.6532125137753437
given,2.3783979009481375,1.6532125137753437
much,2.380211241711606,1.6532125137753437
through,2.3820170425748683,1.6532125137753437
travel,2.383815365980431,1.6532125137753437
used,2.385606273598312,1.6532125137753437
former,2.387389826338729,1.6434526764861874
sentence,2.3891660843645326,1.6434526764861874
another,2.3909351071033793,1.6334684555795864
beatles,2.392696953259666,1.6334684555795864
best,2.3944516808262164,1.6334684555795864
cavern,2.3961993470957363,1.6334684555795864
david,2.3979400086720375,1.6334684555795864
means,2.399673721481038,1.6334684555795864
own,2.401400540781544,1.6334684555795864
ruling,2.403120521175818,1.6334684555795864
thought,2.404833716619938,1.6334684555795864
give,2.406540180433955,1.6232492903979006
think,2.4082399653118496,1.6232492903979006
won,2.4099331233312946,1.6232492903979006
accused,2.41161970596323,1.6127838567197355
admitted,2.413299764081252,1.6127838567197355
father,2.4149733479708178,1.6127838567197355
here,2.416640507338281,1.6127838567197355
including,2.4183012913197452,1.6127838567197355
justice,2.419955748489758,1.6127838567197355
michael,2.4216039268698313,1.6127838567197355
richard,2.423245873936808,1.6127838567197355
service,2.424881636631067,1.6127838567197355
sky,2.4265112613645754,1.6127838567197355
commission,2.428134794028789,1.6020599913279623
d,2.429752280002408,1.6020599913279623
flat,2.4313637641589874,1.6020599913279623
hit,2.432969290874406,1.6020599913279623
molly,2.4345689040341987,1.6020599913279623
run,2.436162647040756,1.6020599913279623
those,2.437750562820388,1.6020599913279623
work,2.439332693830263,1.6020599913279623
appeared,2.4409090820652177,1.591064607026499
authority,2.4424797690644486,1.591064607026499
behaviour,2.444044795918076,1.591064607026499
big,2.4456042032735974,1.591064607026499
body,2.4471580313422194,1.591064607026499
boy,2.44870631990508,1.591064607026499
britain,2.450249108319361,1.591064607026499
friends,2.45178643552429,1.591064607026499
group,2.4533183400470375,1.591064607026499
high,2.45484486000851,1.591064607026499
lot,2.456366033129043,1.591064607026499
saw,2.4578818967339924,1.591064607026499
services,2.459392487759231,1.591064607026499
times,2.4608978427565478,1.591064607026499
woman,2.462397997898956,1.591064607026499
casey,2.4638929889859074,1.5797835966168101
don,2.4653828514484184,1.5797835966168101
homes,2.4668676203541096,1.5797835966168101
injuries,2.4683473304121573,1.5797835966168101
killing,2.469822015978163,1.5797835966168101
live,2.4712917110589387,1.5797835966168101
music,2.4727564493172123,1.5797835966168101
north,2.4742162640762553,1.5797835966168101
officers,2.4756711883244296,1.5797835966168101
say,2.4771212547196626,1.5797835966168101
around,2.4785664955938436,1.568201724066995
asked,2.4800069429571505,1.568201724066995
end,2.481442628502305,1.568201724066995
make,2.482873583608754,1.568201724066995
plays,2.484299839346786,1.568201724066995
school,2.48572142648158,1.568201724066995
sir,2.4871383754771865,1.568201724066995
special,2.4885507165004443,1.568201724066995
album,2.4899584794248346,1.5563025007672873
arrested,2.4913616938342726,1.5563025007672873
bonehead,2.4927603890268375,1.5563025007672873
deal,2.494154594018443,1.5563025007672873
ian,2.4955443375464483,1.5563025007672873
least,2.496929648073215,1.5563025007672873
sales,2.4983105537896004,1.5563025007672873
wanted,2.499687082618404,1.5563025007672873
agents,2.5010592622177517,1.5440680443502757
couple,2.5024271199844326,1.5440680443502757
face,2.503790683057181,1.5440680443502757
itv,2.505149978319906,1.5440680443502757
know,2.506505032404872,1.5440680443502757
legal,2.507855871695831,1.5440680443502757
love,2.509202522331103,1.5440680443502757
many,2.510545010206612,1.5440680443502757
